Company,Title,Location,Link
2U / edX,"Curriculum and Content Strategy Lead, AI and Data ProductsUS Remote",,https://job-boards.greenhouse.io/2u/jobs/8220712002
2U / edX,"Senior Director, People Technology, AI and AnalyticsArlington, Virginia, United States; US Remote",,https://job-boards.greenhouse.io/2u/jobs/8337463002
Coursera,AI Specialist (People Technology)India,,https://job-boards.greenhouse.io/coursera/jobs/5638659004
Coursera,Associate Commercial CounselIndia,,https://job-boards.greenhouse.io/coursera/jobs/5733391004
Coursera,"Sales Development Representative (Miami, FL)United States",,https://job-boards.greenhouse.io/coursera/jobs/5711707004
Coursera,Senior Full-Stack AI EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5621325004
Coursera,Senior ServiceNow AI EngineerIndia,,https://job-boards.greenhouse.io/coursera/jobs/5723915004
Coursera,Senior Staff Data Security Privacy EngineerCanada; United States,,https://job-boards.greenhouse.io/coursera/jobs/5567532004
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"Assessment Content Creator, Middle School Math (6-8)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7392897
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"FP&A ManagerMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7430398
Khan Academy,"Math Exercise Creator, Freelancer, IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7157001
Khan Academy,"Math Video Creator Freelance (Grades 11-12), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7358482
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,"Regional Sales Account Executive, SoutheastMountain View, CA / Remote (Continental US only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7443832
Khan Academy,"Senior Data Engineer I, Data Infrastructure (12 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7452706
Khan Academy,"Senior Data Scientist, Learner ExperienceMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7403267
Khan Academy,"Senior Data Scientist, Product Growth (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7430216
Khan Academy,"Senior Fullstack Engineer I (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7140544
Khan Academy,"Senior Fullstack Engineer II (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7140462
Khan Academy,"Senior Fullstack Engineer II, Khan KidsSan Mateo, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7445375
Khan Academy,"Senior Platform Engineer I, AI Evaluation (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7453480
Khan Academy,"Senior Platform Engineer I, ML Data Systems (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7444430
Khan Academy,"Sr. Product Designer, AssessmentsMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7408942
Khan Academy,"Technical Engineering Manager, Content PlatformMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7452801
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
