Company,Title,Location,Link
Coursera,Associate Software EngineerIndia,,https://job-boards.greenhouse.io/coursera/jobs/5692355004
Coursera,Partner Content - Associate Growth Account ManagerNewIndia,,https://job-boards.greenhouse.io/coursera/jobs/5756467004
Coursera,"Regional Sales Director - Enterprise, IndiaIndia",,https://job-boards.greenhouse.io/coursera/jobs/5602191004
Coursera,"Sales Development Representative (Miami, FL)United States",,https://job-boards.greenhouse.io/coursera/jobs/5711707004
Coursera,Senior Full-Stack AI EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5621325004
Coursera,Senior ServiceNow AI EngineerIndia,,https://job-boards.greenhouse.io/coursera/jobs/5723915004
Coursera,Senior Staff Data Security Privacy EngineerCanada; United States,,https://job-boards.greenhouse.io/coursera/jobs/5567532004
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"Assessment Content Creator, Middle School Math (6-8)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7392897
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"FP&A ManagerMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7430398
Khan Academy,"Fullstack Engineer II, Tutor Platform (12 months fixed-term)NewMountain View, CA / Remote friendly (US + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7445002
Khan Academy,"Math Video Creator Freelance (Grades 11-12), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7358482
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,"Regional Sales Account Executive, SoutheastMountain View, CA / Remote (Continental US only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7443832
Khan Academy,"Senior Analytics EngineerMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7561420
Khan Academy,"Senior Data Scientist, Learner ExperienceMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7403267
Khan Academy,"Senior Data Scientist, Product Growth (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7430216
Khan Academy,"Senior Fullstack Engineer II, Khan KidsSan Mateo, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7445375
Khan Academy,"Senior Platform Engineer I, AI Evaluation (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7453480
Khan Academy,"Senior Platform Engineer I, ML Data Systems (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7444430
Khan Academy,"Senior Product Designer, AssessmentsMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7408942
Khan Academy,"Staff Product Designer, DistrictsNewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7565878
Khan Academy,"Technical Engineering Manager, Content PlatformMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7452801
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
