Company,Title,Location,Link
2U / edX,"Curriculum and Content Strategy Lead, AI and Data ProductsArlington, Virginia, United States",,https://job-boards.greenhouse.io/2u/jobs/8220712002
2U / edX,"Email Marketing SpecialistNewCape Town, South Africa",,https://job-boards.greenhouse.io/2u/jobs/8298848002
Coursera,"Sales Development Representative (Miami, FL)NewUnited States",,https://job-boards.greenhouse.io/coursera/jobs/5711707004
Coursera,Senior Full-Stack AI EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5621325004
Coursera,Senior Staff Data Security Privacy EngineerCanada; United States,,https://job-boards.greenhouse.io/coursera/jobs/5567532004
Coursera,Staff Security EngineerCanada; United States,,https://job-boards.greenhouse.io/coursera/jobs/5543056004
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"Assessment Content Creator, Algebra II (12 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7309567
Khan Academy,"Assessment Content Creator, Middle School Math (6-8)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7392897
Khan Academy,"Audio Generation & QA Specialist, Khan Kids (Part-time contract, up to 20 hours/week; $40-50/hr)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7344645
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"Fullstack Engineer II, Districts Platform (International) (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7077534
Khan Academy,"Math Exercise Creator, Freelancer, IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7157001
Khan Academy,"Math Video Creator Freelance (Grades 11-12), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7358482
Khan Academy,"Partnerships & Sales Operations Manager, Khan KidsNewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7398777
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,"PsychometricianMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7348238
Khan Academy,"Senior Content Creator, Test Prep and ELA (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii)",,https://job-boards.greenhouse.io/khanacademy/jobs/7312750
Khan Academy,"Senior Data ScientistNewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7403267
Khan Academy,"Sr. Fullstack Engineer I (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7140544
Khan Academy,"Sr. Fullstack Engineer I, Districts Platform (International) (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7077660
Khan Academy,"Sr. Fullstack Engineer II (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7140462
Khan Academy,"Sr. Product Designer, AssessmentsNewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7408942
Khan Academy,"Sr. Product Manager, InternationalMountain View, CA / Remote (Continental US + Hawaii+ Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7280365
Khan Academy,"Staff Product Designer, Language and Literature (30 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7270965
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
