Company,Title,Location,Link
Coursera,Learning Designer - Technical/AIIndia,,https://job-boards.greenhouse.io/coursera/jobs/5992269004
Coursera,Privacy Program ManagerCanada,,https://job-boards.greenhouse.io/coursera/jobs/6109399004
Coursera,Senior Privacy CounselUnited States,,https://job-boards.greenhouse.io/coursera/jobs/6109402004
Coursera,UK-Privacy Program ManagerNewUnited Kingdom,,https://job-boards.greenhouse.io/coursera/jobs/6143211004
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"District CoordinatorNashik, Raigad/Thane, Mumbai, Nagpur (Candidates to specify preferred location in the application)",,https://job-boards.greenhouse.io/khanacademy/jobs/7957057
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"Manager, Partnerships and FundingNew Delhi/Bangalore/Mumbai [Hybrid]",,https://job-boards.greenhouse.io/khanacademy/jobs/7765059
Khan Academy,"Math Video Creator Freelance (Grades 11-12), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7358482
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,Project Associate - MaharashtraPune,,https://job-boards.greenhouse.io/khanacademy/jobs/7956970
Khan Academy,"Proposal ManagerMountain View, CA / Remote (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/8056270
Khan Academy,"Sales Enablement ManagerMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/8092590
Khan Academy,"Sales Representative, NortheastMountain View, CA / Remote (US Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/8056187
Khan Academy,"Sales Representative, SoutheastMountain View, CA / Remote (US Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/8056223
Khan Academy,"Sales Representative, WestMountain View, CA / Remote (US Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/8055680
Khan Academy,"Senior Legal Counsel, Khan KidsNewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/8128545
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
Khan Academy,"Training Lead - BiologyVijayawada, Andhra Pradesh",,https://job-boards.greenhouse.io/khanacademy/jobs/8108100
Khan Academy,"Training Lead - ChemistryVijayawada, Andhra Pradesh",,https://job-boards.greenhouse.io/khanacademy/jobs/8108091
Khan Academy,"Training Lead - MathVijayawada, Andhra Pradesh",,https://job-boards.greenhouse.io/khanacademy/jobs/8108083
Khan Academy,"Training Lead - PhysicsVijayawada, Andhra Pradesh",,https://job-boards.greenhouse.io/khanacademy/jobs/8108089
